version,release_date,expiry_date
7.23,"2024-03-18","2025-03-01"
7.22,"2023-10-31","2025-02-28"
7.21,"2023-05-12","2024-10-31"
7.20,"2023-03-03","2024-06-30"
7.09,"2022-11-14","2024-02-29"
7.08,"2022-09-01","2024-01-31"
7.07,"2022-05-11","2023-11-30"
7.06,"2022-01-26","2023-09-30"
7.05,"2021-10-06","2023-04-30"
7.04,"2021-05-10","2023-02-01"
7.03,"2021-01-08","2022-09-30"
7.02,"2020-11-05","2022-06-30"
7.01,"2020-07-23","2022-02-28"
7.00,"2020-03-19","2021-10-31"
6.83,"2020-03-19","2021-10-31"
6.82,"2019-12-19","2021-05-31"
6.81,"2019-08-27","2021-01-31"
6.80,"2019-07-30","2021-01-31"
6.67,"2019-03-04","2020-10-31"
6.63,"2018-10-31","2020-05-31"
6.62,"2020-05-31","2020-05-31"
6.60,"2018-07-11","2020-01-31"
6.42,"2017-11-06","2019-10-31"
6.41,"2017-09-08","2019-01-31"
6.40,"2017-08-23","2019-01-31"
6.09,"2017-03-10","2018-09-30"
6.08,"2017-02-28","2018-09-30"
6.07,"2016-09-09","2018-03-31"
6.06,"2016-04-06","2017-09-30"
6.05,"2015-12-04","2017-03-31"
6.02,"2015-04-01","2017-03-31"
6.01,"2015-03-18","2017-03-31"
6.00,"2015-03-13","2017-03-31"
