receiver,antenna,filter,amplifier,dongle
Annaburg,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Arber,"WiMo Sperrtopf","Ericson Cavity","Terra AB010","rtlsdr.com v3 'silver'"
Berlin,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Burgberg,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
DASSU2,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
EDBQ,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
EDGE,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
EDNC2,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
EDNQ,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
EDOJ,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
EDOJ2,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
EDOV,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
EDPK,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
EDQE,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
EDXA,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Erbendorf,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Goe2,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Hienheim,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Ihrlerst,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Ingostadt,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Kitzbuehl,"Chinese 9dB",,"Terra AB011","rtlsdr.com v3 'silver'"
Koenigsd2,"Toothpick",,,"blue generic plastic"
Koenigsdf,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
LOIJ,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
LOIK,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Ottobrun2,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Schmitten,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Schwend,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
StJohann,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
TraunstW,"Chinese 9dB",,"Terra AB010","rtlsdr.com v3 'silver'"
Wank,"Chinese 9dB","CBP-840+",,"rtlsdr.com v3 'silver'"
